Metadata_Experiment_Well,Metadata_Experiment_Treatment,Metadata_Experiment_Dose,Metadata_Experiment_Unit,Metadata_Experiment_Target,Metadata_Experiment_TherapeuticCategories,Metadata_Experiment_ViabilityPercentage,Metadata_Biology_PatientTumor,Metadata_Biology_TumorType
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,114.1337806,NF0055_T1,pNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,99.72984502,NF0018_T6,cNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,77.70499209,NF0014_T2,pNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,87.08267091,NF0035_T1,cNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,68.18181818,SARCO219_T2,MPNST
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,118.8020839,NF0014_T1,cNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,92.39310573,NF0021_T1,cNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,88.13263525,NF0037_T1,cNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,119.5313673,SARCO361_T1,MPNST
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,99.16246536,NF0055_T1,pNF
D7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,84.15327741,NF0018_T6,cNF
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,77.70499209,NF0014_T2,pNF
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,87.08267091,NF0035_T1,cNF
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,68.18181818,SARCO219_T2,MPNST
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,118.8020839,NF0014_T1,cNF
